ID,Problem,Answer
155,দুটি ধনাত্মক পূর্ণসংখ্যার গ.সা.গু 10। সংখ্যাদুটির সর্বনিম্ন যোগফল নির্ণয় করো।,20
156,সর্বোচ্চ কতোগুলো ভিন্ন সংখ্যার লসাগু 2024 হতে পারে?,16
157,মাজেদ শুধুমাত্র 7 ও 8 টাকার বেশ কিছু কয়েন নিয়ে একটি দোকানে চকলেট কিনতে গেল। সেখানে তার এক ধরনের চকলেট পছন্দ হলো যার প্রত্যেকটির মূল্য 9 টাকা। তাহলে মাজেদকে সর্বনিম্ন কয়টি চকলেট কিনতে হবে যেন দোকানদারকে কোনো টাকা ফেরত দিতে না হয়?,4
158,"এমন কতগুলো ধনাত্মক পূর্ণসংখ্যা আছে যারা $12^{10}, 14^{12} এবং 18^9$ এর অন্তত যেকোনো একটি সংখ্যার উৎপাদক?",457
159,"যেকোনো  পূর্ণসংখ্যা n এর জন্য, $n^4 - kn^3- n^2 + 2n$ রাশিটি 4 দ্বারা বিভাজ্য, যেখানে $k$ একটি ধনাত্মক পূর্ণসংখ্যা। $k$ এর সর্বনিম্ন মান কত?",2
160,4+6+8+...+ 30 এর মান নির্ণয় করো।,238
161,"এমোল্যান্ডে এক নতুন জীবাণুর সংক্রমণ দেখা দিয়েছে। জীবাণুগুলোর সংখ্যা 100 বা তার কম হলে প্রতিদিন সংখ্যায় দ্বিগুণ হয়। আবার তাদের সংখ্যা 101 - 1000 এর মধ্যে হলে প্রতিদিন সংখ্যা 170 টি করে বৃদ্ধি পায় এবং 1000 এর বেশি হলে প্রতিদিন সংখ্যা 130 টি করে বৃদ্ধি পায়। বিজ্ঞানীরা একটি জীবাণু নাশক আবিষ্কার করেছে যা প্রতি দিনের শেষে 210 টি করে জীবাণু ধ্বংস করতে পারে, জীবাণুর সংখ্যা বৃদ্ধির পর। আজকে জীবাণুর সংখ্যা 4048 টি। এমোল্যান্ডকে জীবাণুমুক্ত করতে মোট কতদিন লাগবে?",61
162,মোমার কাছে 32 টা আপেল আছে। আপেলগুলো সে কতভাবে সাদিয়া ও মিথিলার সাথে ভাগাভাগি করতে পারে যেন তিনজনের প্রত্যেকেই কমপক্ষে 5 টি করে আপেল পায়?,171
163,একটি 20 ওভারের ক্রিকেট ম্যাচে বাংলাদেশের মোট রান 160। সেই ম্যাচে প্রতি ওভারে গড়ে কতো রান হয়েছিল?,8
164,"কোনো ধনাত্মক পূর্ণসংখ্যা x এর অংকগুলোকে উল্টিয়ে লিখলে যে সংখ্যা পাওয়া যায়, সেটাকে আমরা rev($x$) বলি। অর্থাৎ, rev (123) = 321; দুটো ভিন্ন ধনাত্মক পূর্ণসংখ্যা $x$ ও $y$ এর জন্য $x$ + rev($y$) = rev($x$) + $y$ হলে, আমরা বলবো, তাদের মধ্যে বন্ধুত্ব রয়েছে। দুই অঙ্কের সংখ্যাগুলোর মধ্যে সর্বোচ্চ কতগুলো বন্ধুত্ব সম্ভব? (এখানে ($a$,$b$) ও ($b$,$a$) কে একই জোড়া হিসেবে বিবেচনা করো)",240
165,"$ABC$ ত্রিভুজের তিন বাহুর দৈর্ঘ্য দেয়া আছে: $AB = 10$, $BC = 20$, $CA = 15$। ত্রিভুজটির অন্তঃকেন্দ্র $K$। $D$, $E$ বিন্দু দুটি যথাক্রমে $AB$ ও $BC$ এর ওপর এমনভাবে নেওয়া হলো যেন $AC \parallel DE$ হয় এবং $DE$, $K$ বিন্দু দিয়ে অতিক্রম করে। $BDE$ এর পরিসীমা কতো?",30
166,12 ঘণ্টা ফরম্যাটের একটি ডিজিটাল ঘড়িতে বর্তমান সময় 11:57 AM। এখানে ঘণ্টার ও মিনিটের অঙ্কগুলোর যোগফলের গুণফল 24; $((1+1) \times (5+7))$। দিনের যেকোনো সময় এই গুণফল জোড় সংখ্যা হওয়ার সম্ভাবনা $\frac{a}{b}$ যেখানে $a$ ও $b$ পরস্পর সহমৌলিক। $a + b$ এর মান নির্ণয় করো।,41
167,"একটি 8 × 8 দাবা বোর্ডের প্রতিটি ঘরে 1 থেকে 64 পর্যন্ত সংখ্যাগুলি ক্রম না মেনে বসানো হল। এরপর ইশরাক প্রতিটি সংখ্যাকে 32 দ্বারা ভাগ করে ভাগশেষ দ্বারা প্রতিস্থাপন করে। তারপর সে না দেখে এমন একটি বর্গ কেটে নেয় যেন ওই বর্গের সংখ্যাগুলোর মধ্যে কমপক্ষে একটি সংখ্যা দুইবার থাকে। বর্গটির সর্বনিম্ন ক্ষেত্রফল পুরো বোর্ডের a/b অংশ, যেখানে a ও 8 সহমৌলিক। a + b এর মান নির্ণয় করো।",25
168,"2023 বিশ্বকাপে বাংলাদেশের ক্রিকেটার নাজমুল হোসেন শান্ত সর্বমোট 213 রান করেন। অন্যদিকে তাওহিদ হৃদয় সর্বমোট 115 রান করেন। তানজিদ হাসান তামিম সর্বমোট 97 রান করেন। শান্ত 9 ম্যাচ, হৃদয় 5 ম্যাচ এবং তানজিদ 9 ম্যাচ খেলেন। বিশ্বকাপে বাংলাদেশ দল সর্বমোট 2125 রান করে। শান্ত, হৃদয় এবং তানজিদ মিলে দলের মোট রানের $\frac{a}{b}$ অংশ করলে, $a+7b-17$ এর মান কত হবে?",19
169,ইমনের কাছে কিছু টাইলস আছে যার দৈর্ঘ্য ও প্রস্থের অনুপাত 3:2। সে শুধুমাত্র এই টাইলসগুলো ব্যবহার করে একটি বর্গ বানাতে চায়। বর্গ বানাতে তার সর্বনিম্ন কতটি টাইলস দরকার?,6
170,"$a$, $b$ ও $c$ হলো 1 থেকে 2024 পর্যন্ত সংখ্যাগুলোর মধ্যে তিনটি ভিন্ন পূর্ণসংখ্যা যেন $a^b + b^c + c^a$ একটি জোড় সংখ্যা হয়। $a + b + c$ এর সম্ভাব্য সর্বোচ্চ মান নির্ণয় করো।",6068
171,"সামিরা বর্ণমালা এবং সংখ্যা ব্যবহার করে মজার কিছু করতে চাচ্ছিলো। তাই সে সমস্ত ইংরেজি বর্ণমালার জন্য 1 থেকে 26 পর্যন্ত সংখ্যা নির্ধারণ করেছে। এভাবে A = 1, B = 2, ..., Z = 26 তারপর সে তার নামকে (SAMIRA) সংখ্যায় রূপান্তর করে। রূপান্তরিত সংখ্যার অংকগুলো ব্যবহার করে সে 7 অংকের একটি প্যালিনড্রোম সংখ্যা তৈরি করে। প্যালিনড্রোম সংখ্যাটির সর্বনিম্ন মান কত? [বিঃদ্রঃ- একটি অংক যতবার পাবে সর্বোচ্চ ততবার ই ব্যবহার করতে পারবে। যেমন 6 অংকটি 3 বার পেলে সেটি সর্বোচ্চ 3 বার ই ব্যবহার করতে পারবে। প্রতিটি অংক ব্যবহার করার প্রয়োজন নেই]",1191911
172,$\frac{2^{2024}-2^{2020}}{2^{2020}-2^{2016}}$ এর মান নির্ণয় করো।,16
173,"তিনটি মৌলিক সংখ্যার গুনফল তিন অংকের সংখ্যা হলে, এদের সর্বোচ্চ ও সর্বনিম্ন মানের পার্থক্য নির্ণয় করো।",892
174,"সাদিয়া তার জন্মদিনের বর্গাকার একটি কেক এমনভাবে কাটলো যেন সে সর্বোচ্চ সংখ্যক টুকরা পায়। (কেকের টুকরা সমান না হলেও সমস্যা নেই এবং কেক মাঝ বরাবর কাটতে হবে এমন কোনো কথা নেই)। সে কয়েকবার কেকটি কেটে দেখলো, সকল অতিথিকে এক টুকরা করে দিলে একটি টুকরা অবশিষ্ট থাকে। সে আরও 3 বার কাটার পর দেখল, প্রত্যেকে 2 টুকরো করে কেক পেল। এখন জন্মদিনে সর্বনিম্ন কতজন অতিথি ছিল?",28
175,"\( \overline{a55bc} \) সংখ্যাটি 8, 9 এবং 11 দ্বারা বিভাজ্য, যেখানে \( a \), \( b \), \( c \) তিনটি ভিন্ন ভিন্ন অংক। \( 2a + 3b + 4c \) এর মান নির্ণয় করো।",49
176,রিমির বাবা বিদেশ থেকে আসলে রিমি জানতে চাইল ওর জন্য কতটি চকলেট এনেছেন। তখন রিমির বাবা নিচের বর্ণ সমীকরণটি লিখে দেখালেন যেখানে প্রতিটি বর্ণ একটি করে অঙ্কের প্রতিনিধিত্ব করে এবং বললেন $R + I + M + I$ হলো মোট চকলেটের সংখ্যা $\overline{RI} \times \overline{MI} = \overline{AAA}$ তাহলে মোট চকলেটের সংখ্যা নির্ণয় কর।,19
177,12 টি সরলরেখা সর্বোচ্চ কতটি বিন্দুতে ছেদ করবে যেখানে 4 টি সরলরেখা পরস্পর সমান্তরাল?,60
178,"\( n = 3! + 5! + 7! + \dots + 2023! \), \( n \) কে 11 দিয়ে ভাগ করলে ভাগশেষ কত হবে? এখানে, \( k! \) হলো 1 থেকে \( k \) পর্যন্ত সকল পূর্ণসংখ্যার গুণফল; অর্থাৎ \( k! = 1 \times 2 \times 3 \times \dots \times (k - 1) \times k \)",8
179,13 এর সকল উৎপাদকগুলোর যোগফল কত?,14
180,"$9! \times 10! \times 11!$ পূর্ণসংখ্যাটি কতগুলো $n^5$ আকারের পূর্ণসংখ্যা দিয়ে নিঃশেষে বিভাজ্য, যেখানে $n$ একটি ধনাত্মক পূর্ণসংখ্যা?",30
181,"11, 11,12,14,17... ধারাটির পরবর্তী পদ কত?",21
182,"$a \times b \times c = 30$ যদি $(a, b, c)$, $(b, c, a)$ আলাদা হয় এবং $a, b, c$ প্রত্যেকেই ধনাত্মক পূর্ণসংখ্যা হয়, তবে প্রদত্ত সমীকরণটির কতগুলো সমাধান সম্ভব?",27
183,মাজেদের কাছে $117!$ সংখ্যাটি আছে। সে সর্বোচ্চ কতবার 2 দিয়ে সংখ্যাটিকে ভাগ করতে পারবে যেন সংখ্যাটির শেষে সর্বাধিক সংখ্যক 0 থাকে?,85
184,"$ \overline{3bcd} $ একটি চার অংকের বিজোড় সংখ্যা যার সকল উৎপাদক বিজোড় সংখ্যা। সংখ্যাটি 3 এবং 7 দিয়ে নিঃশেষে বিভাজ্য। c + d = b হলে, সংখ্যাটি নির্ণয় কর।",3927
185,"জ্যোতি সাদিয়াকে একটি বই দিল। সাদিয়া একদিনে সর্বোচ্চ 4 পৃষ্ঠা, পরপর দুইদিন সর্বোচ্চ 6 পৃষ্ঠা পড়তে পারে। প্রথম দিন সাদিয়া 1 পৃষ্ঠা পড়লে 7 দিন পর সর্বোচ্চ কত পৃষ্ঠা পড়তে পারবে?",19
186,"একটি বইয়ের একটি অধ্যায়ের পৃষ্ঠা সংখ্যার যোগফল 75। অধ্যায়-এ 5 টি পৃষ্ঠা থাকলে, অধ্যায়টি কোন পৃষ্ঠায় শেষ হয়?",17
187,একটি কুইজ প্রতিযোগিতায় প্রতিটি ছোট প্রশ্নের জন্য 6 পয়েন্ট এবং প্রতিটি বড় প্রশ্নের জন্য 10 পয়েন্ট থাকে। 2024 পয়েন্ট স্কোর করার জন্য কতগুলো ভিন্ন সংখ্যক প্রশ্নের উত্তর দেওয়া যেতে পারে?,67
188,"$f(x + 1) = f(x) + x^2 + x + 1$;
$f(1) = 1$;
$f(55) = $?",55495
189,পায়েল ছুটিতে দিনাজপুরে বেড়াতে গেল। সেখানে সে 2 সপ্তাহ 3 দিন অবস্থান করে। তাহলে সে মোট কত দিন দিনাজপুরে অবস্থান করে?,17
190,"abc একটি তিন অংকের সংখ্যা যেখানে a+b=c, এমন কত গুলো সংখ্যা পাওয়া যাবে?",45
191,"একটি গ্রামে 6টি বাড়ি আছে যেগুলোকে 1,2,3,4,5, এবং 6 হিসেবে লেবেল করা হয়েছে। প্রতিটি বাড়ি একে অপরের সাথে রাস্তার মাধ্যমে সংযুক্ত এবং যে কোন দুটি বাড়ি শুধুমাত্র একটি রাস্তা দিয়েই একে অপরের সাথে সংযুক্ত আছে। প্রতিটি রাস্তার নির্মাণ খরচ হচ্ছে ওই রাস্তাটি সংযুক্তকারী দুটি বাড়ির লেবেলের মধ্যে বৃহত্তর লেবেলের মানের সমান। ওই গ্রামের সকল রাস্তা বানাতে মোট খরচ নির্ণয় কর।",70
192,"একটি ত্রিভুজের বৃহত্তম কোন 70° হলে, ক্ষুদ্রতম কোণের সর্বনিম্ন সম্ভাব্য মান নির্ধারণ কর।",40
193,একটি ভগ্নাংশের 4 গুণ হলো \(\frac{8}{3}\)। তাহলে ভগ্নাংশটির 3 গুণ কত হবে?,2
194,"2024 এর চেয়ে ছোট কতগুলো ধনাত্মক পূর্ণসংখ্যাকে $2^x - 2^y$ আকারে লেখা যায়, যেখানে $x$ ও $y$ অঋণাত্মক পূর্ণসংখ্যা? (যেমনঃ 2^4 - 2^1 = 14 তাই 14 হলো এমন একটি সংখ্যা)",61
195,"একটি গণিত ক্লাব একটি গণিত উৎসবের আয়োজন করছে। গণিত উৎসবে 15 টি স্কুলের প্রতিটি স্কুল থেকে 16 জন করে শিক্ষার্থীকে আমন্ত্রণ জানানো হয়। গণিত ক্লাব পর্যাপ্ত পিৎজা অর্ডার করতে চায় যাতে প্রত্যেক ছাত্রের জন্য 2 টি করে স্লাইস থাকে। যদি একটি পিৎজায় 12 টি স্লাইস থাকে, তাহলে গণিত ক্লাবকে অবশ্যই কতগুলো পিৎজা অর্ডার করতে হবে?",40
196,"একটি রুমে 200 টি বক্স এবং 30 জন মানুষ আছে। তারপর পর্যায়ক্রমে ১ম ব্যক্তি প্রতিটি বক্সে একটি করে বল রাখে, ২য় ব্যক্তি 2,4,6... তম বক্সে একটি করে বল রাখে, ৩য় ব্যক্তি 3,9,12... তম বক্সে একটি করে বল রাখে। এভাবে n তম ব্যক্তি n এর সকল গুনিতক তম বক্সে একটি করে বল রাখবে। তাহলে 64 তম বক্সে কতটি বল থাকবে?",5
197,"তুন্নার কাছে $8n-1$ টা আপেল ও $5n+1$ টা কমলা রয়েছে। সে আপেল ও কমলাগুলো সমানভাবে তার কয়েকজন বন্ধুর মাঝে ভাগ করে দিতে চায়, যাতে প্রত্যেকে $p$ টা করে আপেল ও $q$ টা করে কমলা পায়। $n$ এর সর্বনিম্ন মানের জন্য $p + q$ এর মান বের কর।",5
198,"তুমি কিছু সংখ্যক চকলেট ও আইসক্রিম কিনলে, যেখানে প্রতিটি চকলেটের দাম 270 টাকা এবং প্রতিটি আইসক্রিমের দাম 180 টাকা। চকলেট আর আইসক্রিমের পেছনে তোমার খরচ পরস্পর সমান। গড়ে প্রতিটি আইটেমের পেছনে তোমাকে কত টাকা খরচ করতে হয়েছে?",216
199,দুই অঙ্কবিশিষ্ট একটি সংখ্যা 24। এটি নিজের দুটি অঙ্ক 2 ও 4 দ্বারা বিভাজ্য। দুই অঙ্কবিশিষ্ট এমন সকল জোড় সংখ্যার যোগফল নির্ণয় করো যারা নিজেদের অঙ্ক দুইটি দ্বারা বিভাজ্য।,340
200,"পায়েল বাইরে গেলে একটি শার্ট এবং একটি প্যান্ট পরে। তার কাছে একটি লাল, একটি কালো ও একটি নীল রঙের শার্ট এবং একটি লাল, একটি কালো ও একটি নীল রঙের প্যান্ট আছে। সে একটি নির্দিষ্ট নিয়মে শার্ট-প্যান্ট পরিধান করে। সে যেই কালারের শার্ট পরে, ঐ একই কালারের প্যান্ট পরে না (যেমন ধর লাল শার্টের সাথে লাল প্যান্ট পরে না)। এখন সে কতভাবে শার্ট ও প্যান্ট পরিধান করতে পারবে?",6
201,তোমার কাছে 5 টি ধনাত্মক পূর্ণসংখ্যা আছে যাদের গড় 7। তুমি এর মাঝে 3 টি সংখ্যা তোমার প্রথম বন্ধুকে দিলে এবং এই সংখ্যা তিনটির গড় 5। বাকি দুইটি সংখ্যা দ্বিতীয় বন্ধুকে দিলে। দ্বিতীয় বন্ধুর কাছে থাকা সংখ্যা দুইটির গড় কত?,10
202,"সাদিয়া ও মোমা ক্যাফেতে নাস্তা করতে এসেছে। এখানে অর্ডার করলে প্রতি বক্সে 9 টি করে চকলেট পরিবেশন করা হয়। সাদিয়াকে মোমা চ্যালেঞ্জ দিলো যে, ""তুমি যদি 15 টির বেশি চকলেট খেতে পারো, 15 টির পর প্রতিটির জন্য আমি তোমাকে 30 টাকা করে দিবো""। সাদিয়া চ্যালেঞ্জ পূরণ করায় মোমার কাছ থেকে 120 টাকা পেল। চ্যালেঞ্জ পূরণ করতে সাদিয়াকে সর্বনিম্ন কত বক্স চকলেট অর্ডার করতে হয়েছে?",3
203,"4 টি ক্রমিক পূর্ণসংখ্যার যোগফল 634 হলে, সবচেয়ে বড় সংখ্যাটি নির্ণয় করো।",160
204,কোনো শ্রেণির $\frac{3}{7}$ অংশ শিক্ষার্থী সংখ্যাতত্ত্ব এবং $\frac{4}{5}$ অংশ শিক্ষার্থী জ্যামিতি পছন্দ করে। উভয়ই পছন্দ করে এমন শিক্ষার্থীর সর্বনিম্ন সংখ্যা কত?,8
205,"পায়েল তার ক্ষমতা বৃদ্ধির জন্যে একটি পায়েলরোবট তৈরি করে, যা পায়েলের একদিনের কাজ $n$ দিনে করতে পারে। পায়েলরোবট আবার নিজে পায়েলরোবট-2 তৈরি করে যা পায়েলরোবটের একদিনের কাজ দিনে $n$ করতে পারে। এভাবে প্রত্যেক পায়েলরোবট তার কপি তৈরি করে। পায়েল কখনই চাইবে না পায়েলরোবটরা একত্রিত হয়ে তার চেয়ে দক্ষ হয়ে তার বিরুদ্ধে বিদ্রোহ করে। এর মান সর্বনিম্ন কত রাখলে তার পরিকল্পনা সফল হবে?",2
206,"$\lceil {\frac{n+(n+1)}{n+2}} \rceil + \lceil {\frac{(n + 1) + (n + 2)}{(n + 3)}} \rceil + \lceil {\frac{(n + 2) + (n + 3)}{n + 4}} \rceil + \dots + \lceil {\frac{(n+m-2)+(n+m-1)}{n+m}} \rceil =301$, যেখানে $0 < n < 1$। $m$ এর মান নির্ণয় কর। 
$\lceil \rceil$ দ্বারা সিলিং ফাংশন বুঝায়, যার মান কোনো দশমিক সংখ্যার পরবর্তী পূর্ণসংখ্যা বুঝায়। যেমন, $\left\lceil {2.1} \right\rceil = 3, \left\lceil {3} \right\rceil = 3, \left\lceil {2.6} \right\rceil = 3$",152
207,"একটি গ্রামে 8টি বাড়ি আছে যেগুলোকে 1,2,3,4,5,6,7 এবং 8 হিসাবে চিহ্নিত করা হয়েছে। প্রতিটি বাড়ি অন্য সমস্ত বাড়ির সাথে সংযুক্ত এবং যে কোনো দুটি বাড়ি শুধুমাত্র একটি রাস্তা দিয়ে একে অপরের সাথে সংযুক্ত থাকে। প্রতিটি রাস্তার নির্মাণ খরচ হচ্ছে ওই রাস্তাটি যে দুটি বাড়িকে সংযুক্ত করে, তাদের মধ্যে বড়টির চিহ্নিত মানের সমান। ওই গ্রামের সব রাস্তা বানাতে মোট খরচ কত?",168
208,"পূর্ণসংখ্যক বাহুবিশিষ্ট একটি আয়তের একটি কর্ণের দৈর্ঘ্য 5 একক। ঐ আয়তের পরিসীমার সাথে 22 যোগ করলে একটি রম্বসের পরিসীমা পাওয়া যায়, যার উচ্চতা আয়তের ক্ষুদ্রতম বাহুর সমান। উক্ত রম্বসটির ক্ষেত্রফল নির্ণয় করো।",27
